item_code,bar_code,vendor_article_id,vendor_article_name,division,section,department,brand_name,node,item_name,size,style_group_id
BD54548,8905816215087,1M-BWJG-R0195-AW3,TMRW-087-Men-Joggers-Arctic Wolf-M,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Beige-SS25-M,M,BW_NOB_TMRWARCTIC_BEIGE_01
BD54421,8905816215094,1M-BWJG-R0195-AW4,TMRW-087-Men-Joggers-Arctic Wolf-L,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Beige-SS25-L,L,BW_NOB_TMRWARCTIC_BEIGE_01
BD54543,8905816215100,1M-BWJG-R0195-AW5,TMRW-087-Men-Joggers-Arctic Wolf-XL,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Beige-SS25-XL,XL,BW_NOB_TMRWARCTIC_BEIGE_01
BD54450,8905816215131,1M-BWJG-R0194-BL2,TMRW-086-Men-Joggers-Black-S,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Black-SS25-S,S,BW_NOB_TMRW_BLACK_01
BD54613,8905816215148,1M-BWJG-R0194-BL3,TMRW-086-Men-Joggers-Black-M,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Black-SS25-M,M,BW_NOB_TMRW_BLACK_01
BD54486,8905816215155,1M-BWJG-R0194-BL4,TMRW-086-Men-Joggers-Black-L,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Black-SS25-L,L,BW_NOB_TMRW_BLACK_01
BD54533,8905816215162,1M-BWJG-R0194-BL5,TMRW-086-Men-Joggers-Black-XL,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Black-SS25-XL,XL,BW_NOB_TMRW_BLACK_01
BD54591,8905816215193,1M-BWJG-R0187-SG2,TMRW-0109-Men-Joggers-Sage Green-S,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Green-SS25-S,S,BW_NOB_TMRWSAGE_GREEN_01
BD54456,8905816215209,1M-BWJG-R0187-SG3,TMRW-0109-Men-Joggers-Sage Green-M,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Green-SS25-M,M,BW_NOB_TMRWSAGE_GREEN_01
BD54535,8905816215216,1M-BWJG-R0187-SG4,TMRW-0109-Men-Joggers-Sage Green-L,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Green-SS25-L,L,BW_NOB_TMRWSAGE_GREEN_01
BD54521,8905816215223,1M-BWJG-R0187-SG5,TMRW-0109-Men-Joggers-Sage Green-XL,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Green-SS25-XL,XL,BW_NOB_TMRWSAGE_GREEN_01
BD54416,8905816215254,1M-BWJG-R0194-BW2,TMRW-086-Men-Joggers-Brown-S,Clothing,Men,Bottomwear,Nobero,Joggers,Nobero-Men-Bottomwear-Joggers-Joggers-Brown-SS25-S,S,BW_NOB_TMRW_BROWN_01
