Division,Section,Department,Node,Size,Key Size = 1
Clothing,Men,Topwear,Lounge Tshirts,M,1
Clothing,Men,Topwear,Lounge Tshirts,S,0
Clothing,Men,Topwear,Shapewear,S,0
Clothing,Men,Topwear,Shirt,Small (S) 38 Medium (M) 40 Large (L) 42 Xtra Large (XL) 44 XXL 46,1
Clothing,Men,Topwear,Shirts,L,1
Clothing,Men,Topwear,Sweatshirts,S,0
Clothing,Men,Topwear,Tshirts,36,1
Clothing,Unisex,Bottomwear,Capris,Free Size,0
Clothing,Unisex,Bottomwear,Cargo Trousers,28,1
Clothing,Unisex,Bottomwear,Cargo Trousers,30,1
Clothing,Unisex,Bottomwear,Cargo Trousers,32,1
Clothing,Unisex,Bottomwear,Cargo Trousers,34,0
Clothing,Unisex,Bottomwear,Cargo Trousers,L,1
Clothing,Unisex,Bottomwear,Cargo Trousers,M,1
Clothing,Unisex,Bottomwear,Cargo Trousers,S,1
Clothing,Unisex,Bottomwear,Cargo Trousers,XL,0
Clothing,Unisex,Bottomwear,Cargo Trousers,XS,0
Clothing,Unisex,Bottomwear,Cargo Trousers,XXL,0
Clothing,Unisex,Bottomwear,Clothing,L,1
Clothing,Unisex,Bottomwear,Clothing,M,1
Clothing,Unisex,Bottomwear,Clothing,S,1
Clothing,Unisex,Bottomwear,Clothing,XL,0
Clothing,Unisex,Bottomwear,Clothing,XS,0
Clothing,Unisex,Bottomwear,Clothing,XXL,0
Clothing,Unisex,Bottomwear,Jeans,28,1
Clothing,Unisex,Bottomwear,Jeans,29,0
Clothing,Unisex,Bottomwear,Jeans,29.5,0
Clothing,Unisex,Bottomwear,Jeans,30,1
Clothing,Unisex,Bottomwear,Jeans,31,0
Clothing,Unisex,Bottomwear,Jeans,31.5,0
Clothing,Unisex,Bottomwear,Jeans,32,1
Clothing,Unisex,Bottomwear,Jeans,33,0
Clothing,Unisex,Bottomwear,Jeans,34,0
Clothing,Unisex,Bottomwear,Jeans,35.5,0
Clothing,Unisex,Bottomwear,Jeans,36,0
Clothing,Unisex,Bottomwear,Jeans,38,0
Clothing,Unisex,Bottomwear,Jeans,26-28,0
Clothing,Unisex,Bottomwear,Jeans,2XL-31-34,0
Clothing,Unisex,Bottomwear,Jeans,2XL-33-34,0
Clothing,Unisex,Bottomwear,Jeans,2XL-34,0
Clothing,Unisex,Bottomwear,Jeans,30-32,0
Clothing,Unisex,Bottomwear,Jeans,34-36,0
Clothing,Unisex,Bottomwear,Jeans,3XL-32-35,0
Clothing,Unisex,Bottomwear,Jeans,3XL-35.5,0
Clothing,Unisex,Bottomwear,Jeans,3XL-36,0
Clothing,Unisex,Bottomwear,Jeans,L,1
Clothing,Unisex,Bottomwear,Jeans,L-28-31,1
Clothing,Unisex,Bottomwear,Jeans,L-30,1
Clothing,Unisex,Bottomwear,Jeans,L-31,1
Clothing,Unisex,Bottomwear,Jeans,L-31.5,1
Clothing,Unisex,Bottomwear,Jeans,L-32,1
Clothing,Unisex,Bottomwear,Jeans,L-34,1
Clothing,Unisex,Bottomwear,Jeans,M,1
Clothing,Unisex,Bottomwear,Jeans,M-28,1
Clothing,Unisex,Bottomwear,Jeans,M-29,1
Clothing,Unisex,Bottomwear,Jeans,M-29.5,1
Clothing,Unisex,Bottomwear,Jeans,M-32,1
Clothing,Unisex,Bottomwear,Jeans,S,1
Clothing,Unisex,Bottomwear,Jeans,S-28,1
Clothing,Unisex,Bottomwear,Jeans,XL,0
Clothing,Unisex,Bottomwear,Jeans,XL-30-33,0
Clothing,Unisex,Bottomwear,Jeans,XL-32,0
Clothing,Unisex,Bottomwear,Jeans,XL-33,0
Clothing,Unisex,Bottomwear,Jeans,XL-34,0
Clothing,Unisex,Bottomwear,Jeans,XL-36,0
Clothing,Unisex,Bottomwear,Jeans,XS,0
Clothing,Unisex,Bottomwear,Jeans,XXL,0
Clothing,Unisex,Bottomwear,Jeans,XXXL,0
Clothing,Unisex,Bottomwear,Joggers,28 to 30,0
Clothing,Unisex,Bottomwear,Joggers,32 to 34,0
Clothing,Unisex,Bottomwear,Joggers,36 to 38,0
Clothing,Unisex,Bottomwear,Joggers,L,1
Clothing,Unisex,Bottomwear,Joggers,M,1
Clothing,Unisex,Bottomwear,Joggers,S,1
Clothing,Unisex,Bottomwear,Joggers,XL,0
Clothing,Unisex,Bottomwear,Joggers,XS,0
Clothing,Unisex,Bottomwear,Joggers,XXL,0
Clothing,Unisex,Bottomwear,Lounge Pants,L,1
Clothing,Unisex,Bottomwear,Lounge Pants,M,1
Clothing,Unisex,Bottomwear,Lounge Pants,S,1
Clothing,Unisex,Bottomwear,Lounge Pants,XL,0
Clothing,Unisex,Bottomwear,Lounge Pants,XS,0
Clothing,Unisex,Bottomwear,Lounge Pants,XXL,0
Clothing,Unisex,Bottomwear,S24-SKIRT-COT-SOLID-WH-S,S,1
Clothing,Unisex,Bottomwear,Shorts,26,0
Clothing,Unisex,Bottomwear,Shorts,28,1
Clothing,Unisex,Bottomwear,Shorts,30,1
Clothing,Unisex,Bottomwear,Shorts,32,1
Clothing,Unisex,Bottomwear,Shorts,34,0
Clothing,Unisex,Bottomwear,Shorts,2XL/3XL,0
Clothing,Unisex,Bottomwear,Shorts,2XS/XS,0
Clothing,Unisex,Bottomwear,Shorts,L,1
Clothing,Unisex,Bottomwear,Shorts,L-30,1
Clothing,Unisex,Bottomwear,Shorts,L/XL,1
Clothing,Unisex,Bottomwear,Shorts,M,1
Clothing,Unisex,Bottomwear,Shorts,M-28,1
Clothing,Unisex,Bottomwear,Shorts,S,1
Clothing,Unisex,Bottomwear,Shorts,S/M,1
Clothing,Unisex,Bottomwear,Shorts,XL,0
Clothing,Unisex,Bottomwear,Shorts,XL-31.5,0
Clothing,Unisex,Bottomwear,Shorts,XS,0
Clothing,Unisex,Bottomwear,Shorts,XXL,0
Clothing,Unisex,Bottomwear,Skirts,L,1
Clothing,Unisex,Bottomwear,Skirts,M,1
Clothing,Unisex,Bottomwear,Skirts,S,1
Clothing,Unisex,Bottomwear,Skirts,XL,0
Clothing,Unisex,Bottomwear,Skirts,XS,0
Clothing,Unisex,Bottomwear,Track Pants,28,1
Clothing,Unisex,Bottomwear,Track Pants,30,1
Clothing,Unisex,Bottomwear,Track Pants,32,1
Clothing,Unisex,Bottomwear,Track Pants,34,0
Clothing,Unisex,Bottomwear,Track Pants,36,0
Clothing,Unisex,Bottomwear,Track Pants,38,0
Clothing,Unisex,Bottomwear,Track Pants,2XL/3XL,0
Clothing,Unisex,Bottomwear,Track Pants,2XS/XS,0
Clothing,Unisex,Bottomwear,Track Pants,L,1
Clothing,Unisex,Bottomwear,Track Pants,L/XL,1
Clothing,Unisex,Bottomwear,Track Pants,M,1
Clothing,Unisex,Bottomwear,Track Pants,S,1
Clothing,Unisex,Bottomwear,Track Pants,S/M,1
Clothing,Unisex,Bottomwear,Track Pants,XL,0
Clothing,Unisex,Bottomwear,Track Pants,XS,0
Clothing,Unisex,Bottomwear,Trousers,28,1
Clothing,Unisex,Bottomwear,Trousers,30,1
Clothing,Unisex,Bottomwear,Trousers,32,1
Clothing,Unisex,Bottomwear,Trousers,34,0
Clothing,Unisex,Bottomwear,Trousers,36,0
Clothing,Unisex,Bottomwear,Trousers,38,0
Clothing,Unisex,Bottomwear,Trousers,L,1
Clothing,Unisex,Bottomwear,Trousers,M,1
Clothing,Unisex,Bottomwear,Trousers,S,1
Clothing,Unisex,Bottomwear,Trousers,XL,0
Clothing,Unisex,Bottomwear,Trousers,XS,0
Clothing,Unisex,Bottomwear,Trousers,XS / White/Blue/Green,0
Clothing,Unisex,Bottomwear,Trousers,XXL,0
Clothing,Unisex,Indian & Festivewear,Scarves,Freesize,0
Clothing,Unisex,Sleepwear,Sleep & Lounge,L,1
Clothing,Unisex,Sleepwear,Sleep & Lounge,M,1
Clothing,Unisex,Sleepwear,Sleep & Lounge,S,1
Clothing,Unisex,Sleepwear,Sleep & Lounge,XL,0
Clothing,Unisex,Topwear,Clothing,L,1
Clothing,Unisex,Topwear,Clothing,M,1
Clothing,Unisex,Topwear,Clothing,S,1
Clothing,Unisex,Topwear,Clothing,XL,0
Clothing,Unisex,Topwear,Clothing,XS,0
Clothing,Unisex,Topwear,Clothing,XXL,0
Clothing,Unisex,Topwear,Clothing,XXS,0
Clothing,Unisex,Topwear,Clothing,XXXL,0
Clothing,Unisex,Topwear,Coats,L,1
Clothing,Unisex,Topwear,Coats,M,1
Clothing,Unisex,Topwear,Coats,S,1
Clothing,Unisex,Topwear,Coats,XL,0
Clothing,Unisex,Topwear,Coats,XS,0
Clothing,Unisex,Topwear,Jackets,10-12 Years,0
Clothing,Unisex,Topwear,Jackets,2-4 Years,0
Clothing,Unisex,Topwear,Jackets,3XL,0
Clothing,Unisex,Topwear,Jackets,4-6 Years,0
Clothing,Unisex,Topwear,Jackets,6-8 Years,0
Clothing,Unisex,Topwear,Jackets,8-10 Years,0
Clothing,Unisex,Topwear,Jackets,L,1
Clothing,Unisex,Topwear,Jackets,M,1
Clothing,Unisex,Topwear,Jackets,S,1
Clothing,Unisex,Topwear,Jackets,XL,0
Clothing,Unisex,Topwear,Jackets,XS,0
Clothing,Unisex,Topwear,Jackets,XXL,0
Clothing,Unisex,Topwear,Jackets,XXXL,0
Clothing,Unisex,Topwear,Shirt,39,0
Clothing,Unisex,Topwear,Shirt,40,0
Clothing,Unisex,Topwear,Shirt,42,0
Clothing,Unisex,Topwear,Shirt,44,0
Clothing,Unisex,Topwear,Shirt,46,0
Clothing,Unisex,Topwear,Shirts,39,0
Clothing,Unisex,Topwear,Shirts,40,0
Clothing,Unisex,Topwear,Shirts,41,0
Clothing,Unisex,Topwear,Shirts,42,0
Clothing,Unisex,Topwear,Shirts,43,0
Clothing,Unisex,Topwear,Shirts,44,0
Clothing,Unisex,Topwear,Shirts,46,0
Clothing,Unisex,Topwear,Shirts,L,1
Clothing,Unisex,Topwear,Shirts,M,1
Clothing,Unisex,Topwear,Shirts,S,1
Clothing,Unisex,Topwear,Shirts,XL,0
Clothing,Unisex,Topwear,Shirts,XS,0
Clothing,Unisex,Topwear,Shirts,XXL,0
Clothing,Unisex,Topwear,Shirts,XXXL,0
Clothing,Unisex,Topwear,Sweaters,2XL,0
Clothing,Unisex,Topwear,Sweaters,L,1
Clothing,Unisex,Topwear,Sweaters,M,1
Clothing,Unisex,Topwear,Sweaters,S,1
Clothing,Unisex,Topwear,Sweaters,XL,0
Clothing,Unisex,Topwear,Sweaters,XS,0
Clothing,Unisex,Topwear,Sweaters,XXL,0
Clothing,Unisex,Topwear,Sweatshirts,2XL,0
Clothing,Unisex,Topwear,Sweatshirts,3-4Y,0
Clothing,Unisex,Topwear,Sweatshirts,4-5Y,0
Clothing,Unisex,Topwear,Sweatshirts,5-6Y,0
Clothing,Unisex,Topwear,Sweatshirts,6-7Y,0
Clothing,Unisex,Topwear,Sweatshirts,L,1
Clothing,Unisex,Topwear,Sweatshirts,M,1
Clothing,Unisex,Topwear,Sweatshirts,S,1
Clothing,Unisex,Topwear,Sweatshirts,XL,0
Clothing,Unisex,Topwear,Sweatshirts,XS,0
Clothing,Unisex,Topwear,Sweatshirts,XXL,0
Clothing,Unisex,Topwear,Sweatshirts,XXXL,0
Clothing,Unisex,Topwear,Tshirts,44,0
Clothing,Unisex,Topwear,Tshirts,2XL,0
Clothing,Unisex,Topwear,Tshirts,2XL/3XL,0
Clothing,Unisex,Topwear,Tshirts,2XS/XS,0
Clothing,Unisex,Topwear,Tshirts,Free Size,0
Clothing,Unisex,Topwear,Tshirts,Freesize,0
Clothing,Unisex,Topwear,Tshirts,L,1
Clothing,Unisex,Topwear,Tshirts,L/XL,1
Clothing,Unisex,Topwear,Tshirts,M,1
Clothing,Unisex,Topwear,Tshirts,S,1
Clothing,Unisex,Topwear,Tshirts,S/M,1
Clothing,Unisex,Topwear,Tshirts,XL,0
Clothing,Unisex,Topwear,Tshirts,XS,0
Clothing,Unisex,Topwear,Tshirts,XXL,0
Clothing,Unisex,Topwear,Tshirts,XXS,0
Clothing,Unisex,Topwear,Tshirts,XXXL,0
Clothing,Unisex,Topwear,Unisex Hoodies,39,0
Clothing,Unisex,Topwear,Unisex Hoodies,40,0
Clothing,Unisex,Topwear,Unisex Hoodies,42,0
Clothing,Unisex,Topwear,Unisex Hoodies,44,0
Clothing,Unisex,Topwear,Unisex Hoodies,46,0
Clothing,Unisex,Topwear,Unisex Hoodies,2XL,0
Clothing,Unisex,Topwear,Unisex Hoodies,3XL,0
Clothing,Unisex,Topwear,Unisex Hoodies,L,1
Clothing,Unisex,Topwear,Unisex Hoodies,M,1
